Order ID,Order Date,Country,Region,State,City,Category,Sub-Category,Product Name,Customer Name,Quantity,Sales,Discount,Profit
US-2019-103800,03/01/2019,United States,Central,Texas,Houston,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Darren Powers,2,16.448,0.2,5.5512
US-2019-112326,04/01/2019,United States,Central,Illinois,Naperville,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,Phillina Ober,2,3.54,0.8,-5.487
US-2019-112326,04/01/2019,United States,Central,Illinois,Naperville,Office Supplies,Labels,Avery 508,Phillina Ober,3,11.784,0.2,4.2717
US-2019-112326,04/01/2019,United States,Central,Illinois,Naperville,Office Supplies,Storage,SAFCO Boltless Steel Shelving,Phillina Ober,3,272.736,0.2,-64.7748
US-2019-141817,05/01/2019,United States,East,Pennsylvania,Philadelphia,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Mick Brown,3,19.536,0.2,4.884
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Maria Etezadi,9,2573.82,0,746.4078
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,Maria Etezadi,2,5.48,0,1.4796
US-2019-106054,06/01/2019,United States,South,Georgia,Athens,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Jack O'Briant,3,12.78,0,5.2398
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,Maria Etezadi,2,609.98,0,274.491
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",Maria Etezadi,4,31.12,0,0.3112
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,Maria Etezadi,1,6.54,0,3.0084
US-2019-130813,06/01/2019,United States,West,California,Los Angeles,Office Supplies,Paper,Xerox 225,Lycoris Saunders,3,19.44,0,9.3312
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,Maria Etezadi,4,755.96,0,204.1092
US-2019-167199,06/01/2019,United States,South,Kentucky,Henderson,Technology,Phones,GE 30524EE4,Maria Etezadi,2,391.98,0,113.6742
US-2019-105417,07/01/2019,United States,Central,Texas,Huntsville,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Vivek Sundaresam,3,76.728,0.6,-53.7096
US-2019-105417,07/01/2019,United States,Central,Texas,Huntsville,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Vivek Sundaresam,7,10.43,0.8,-18.2525
US-2019-135405,09/01/2019,United States,Central,Texas,Laredo,Office Supplies,Art,Newell 312,Melanie Seite,2,9.344,0.2,1.168
US-2019-135405,09/01/2019,United States,Central,Texas,Laredo,Technology,Accessories,Memorex Micro Travel Drive 8 GB,Melanie Seite,3,31.2,0.2,9.75
US-2019-149020,10/01/2019,United States,South,Virginia,Springfield,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Anthony Jacobs,1,51.94,0,21.2954
US-2019-149020,10/01/2019,United States,South,Virginia,Springfield,Office Supplies,Labels,Avery 482,Anthony Jacobs,1,2.89,0,1.3583
